A  a
A-T-ELLE  a t e^ l
A-T-IL  a t i l
A-T-ON  a t o~
ABANDON  a b a~ d o~
ABANDONNA  a b a~ d o^ n a
ABANDONNAIT  a b a~ d o^ n e^
ABANDONNANT  a b a~ d o^ n a~
ABANDONNANT  a b a~ d o^ n a~ t
ABANDONNE  a b a~ d o^ n
ABANDONNE  a b a~ d o^ n q
ABANDONNENT  a b a~ d o^ n t
ABANDONNER  a b a~ d o^ n e
ABANDONNER  a b a~ d o^ n e r
ABANDONNERAS  a b a~ d o^ n x^ r a
ABANDONNEZ  a b a~ d o^ n e
ABANDONNÈRENT  a b a~ d o^ n e^ r
ABANDONNÉ  a b a~ d o^ n e
ABANDONNÉE  a b a~ d o^ n e
ABANDONNÉES  a b a~ d o^ n e
ABANDONNÉS  a b a~ d o^ n e
ABASOURDI  a b a s u r d i
ABATTEMENT  a b a t m a~
ABATTOIR  a b a t w a r
ABATTRAIT  a b a t r e^ t
ABATTU  a b a t y
ABATTUE  a b a t y
ABBAYE  a b e i
ABBÉ  a b e
ABCÈS  a b s e^
ABERRATION  a b e^ r a s j o~
ABHORRÉ  a b o^ r e
ABJECTION  a b z^ e^ k s j o~
ABLATIONS  a b l a s j o~
ABOIE  a b w a
ABOIEMENTS  a b w a m a~
ABOIS  a b w a
ABOMINABLE  a b o^ m i n a b l
ABOMINABLE  a b o^ m i n a b l q
ABOMINABLES  a b o^ m i n a b l
ABOMINATION  a b o^ m i n a s j o~
ABOMINATIONS  a b o^ m i n a s j o~
ABONDAIENT  a b o~ d e^ t
ABONDANCE  a b o~ d a~ s q
ABONDANCE  a b o~ d a~ s
ABONDANT  a b o~ d a~
ABONDANTES  a b o~ d a~ t
ABONDENT  a b o~ d q
ABONNEMENT  a b o^ n m a~
ABORD  a b o^ r
ABORDER  a b o^ r d e
ABORDONS  a b o^ r d o~ z
ABORDS  a b o^ r
ABOULEZ  a b u l e
ABOUTISSAIT  a b u t i s e^ t
ABOUTISSANT  a b u t i s a~ t
ABOUTIT  a b u t i t
ABOYA  a b w a j a
ABOYAIENT  a b w a j e^ t
ABOYAIT  a b w a j e^
ABOYER  a b w a j e
ABOYÈRENT  a b w a j e^ r t
ABREUVOIR  a b r x^ v w a r
ABREUVÉ  a b r x^ v e
ABRI  a b r i
ABRICOT  a b r i k o
ABRITAIENT  a b r i t e^
ABRITAIT  a b r i t e^
ABRITANT  a b r i t a~
ABRITÉ  a b r i t e
ABRITÉS  a b r i t e
ABRUTI  a b r y t i
ABRUTIES  a b r y t i
ABRUTISSANTE  a b r y t i s a~ t
ABRÉGEA  a b r e z^ a
ABRÉGER  a b r e z^ e
ABRÉGER  a b r e z^ e r
ABSENCE  a p s a~ s
ABSENCES  a p s a~ s
ABSENT  a p s a~
ABSENTS  a p s a~
ABSOLU  a p s o^ l y
ABSOLUMENT  a p s o^ l y m a~
ABSOLUMENT  a p s o^ l y m a~ t
ABSORBÉ  a p s o^ r b e
ABSORBÉE  a p s o^ r b e
ABSOUT  a p s u
ABSOUTE  a p s u t
ABSURDE  a p s y r d
ABSURDE  a p s y r d q
ABSURDES  a p s y r d q
ABSURDITÉ  a p s y r d i t e
ABUS  a b y
ABUSAIT  a b y z e^
ABUSE  a b y z
ABUSER  a b y z e
ABUSEZ  a b y z e
ABUSÉ  a b y z e
ABUSÉE  a b y z e
ABÎME  a b i m
ABÎME  a b i m q
ABÎMER  a b i m e
ABÎMES  a b i m z
ABÎMÉ  a b i m e
ACACIAS  a k a s j a
ACACIAS  a k a s j a z
ACADÉMIQUE  a k a d e m i k
ACCABLAIT  a k a b l e^
ACCABLANTE  a k a b l a~ t
ACCABLANTES  a k a b l a~ t
ACCABLE  a k a b l
